gene_id	length	gc
ENSG00000197921	1324	0.693353474
ENSG00000157873	6214	0.635822337
ENSG00000157870	3371	0.62652032
ENSG00000215912	7780	0.588688946
ENSG00000177133	6044	0.613500993
ENSG00000142611	9767	0.569878161
ENSG00000130762	5324	0.630353118
ENSG00000162591	9021	0.610242767
ENSG00000238260	1930	0.599481865
ENSG00000158109	2401	0.541857559
ENSG00000116213	7634	0.553445114
ENSG00000227372	9701	0.550561798
ENSG00000130764	4509	0.563539587
ENSG00000116198	11885	0.48986117
ENSG00000169598	3870	0.530232558
ENSG00000198912	4883	0.450133115
ENSG00000233304	5054	0.517016225
ENSG00000284703	4817	0.465642516
ENSG00000196581	12528	0.501037676
ENSG00000131697	13167	0.520467836
ENSG00000069424	17362	0.588181085
ENSG00000116254	10094	0.588468397
ENSG00000116251	4665	0.521114684
ENSG00000158286	6595	0.588324488
ENSG00000116237	4910	0.511812627
ENSG00000158292	4198	0.62553597
ENSG00000097021	3500	0.561714286
ENSG00000215788	4263	0.594182501
ENSG00000171680	6935	0.56813266
ENSG00000162408	7271	0.51574749
ENSG00000204859	4510	0.611529933
ENSG00000162413	6670	0.586656672
ENSG00000116273	3632	0.540198238
ENSG00000041988	4067	0.58937792
ENSG00000007923	12182	0.466672139
ENSG00000171735	13346	0.477221639
ENSG00000270171	1721	0.479372458
ENSG00000049245	2733	0.431028174
ENSG00000269925	393	0.366412214
ENSG00000049246	8128	0.438607283
ENSG00000116288	2397	0.493950772
ENSG00000116285	4179	0.401292175
ENSG00000162426	2600	0.627692308
ENSG00000142599	14288	0.454647256
ENSG00000074800	5216	0.510161043
ENSG00000142583	6632	0.463661037
ENSG00000180758	5304	0.490573152
ENSG00000228526	8705	0.51545089
ENSG00000049239	9322	0.565436602
ENSG00000171621	3389	0.564473296
ENSG00000284693	3456	0.484375
ENSG00000171612	3865	0.458990944
ENSG00000188807	6981	0.616960321
ENSG00000171608	9567	0.591094387
ENSG00000171603	5241	0.470139286
ENSG00000178585	3339	0.549565738
ENSG00000162441	5459	0.432130427
ENSG00000173614	4610	0.468763557
ENSG00000162444	862	0.513921114
ENSG00000130939	9237	0.457291328
ENSG00000054523	18915	0.446629659
ENSG00000284735	2381	0.489710206
ENSG00000284642	1477	0.451591063
ENSG00000142657	3333	0.529252925
ENSG00000241563	914	0.490153173
ENSG00000160049	6625	0.477433962
ENSG00000142655	2932	0.603342428
ENSG00000120948	6187	0.418942945
ENSG00000009724	5113	0.44474868
ENSG00000116649	1894	0.636219641
ENSG00000171824	5991	0.45034218
ENSG00000198793	13373	0.463545951
ENSG00000120942	5090	0.523379175
ENSG00000204624	6120	0.613071895
ENSG00000284708	2094	0.534861509
ENSG00000116661	3163	0.535567499
ENSG00000132879	3527	0.589169266
ENSG00000116663	1735	0.595389049
ENSG00000116670	5431	0.576505248
ENSG00000162490	7365	0.531704005
ENSG00000177674	2435	0.565913758
ENSG00000177000	11513	0.540085121
ENSG00000011021	8173	0.529793222
ENSG00000116685	3281	0.601036269
ENSG00000083444	5320	0.568796992
ENSG00000116688	10234	0.517979285
ENSG00000116691	2821	0.638780574
ENSG00000028137	3778	0.594494442
ENSG00000048707	20768	0.458253082
ENSG00000162496	3515	0.462019915
ENSG00000162494	2168	0.607933579
ENSG00000162493	3707	0.485837605
ENSG00000116731	10933	0.453672368
ENSG00000189337	13860	0.552453102
ENSG00000175147	11973	0.494946964
ENSG00000171729	2238	0.562109026
ENSG00000142621	13296	0.502782792
ENSG00000142634	2534	0.61878453
ENSG00000132906	5269	0.513569937
ENSG00000116138	8563	0.446689244
ENSG00000116771	3095	0.522132472
ENSG00000197312	12178	0.42502874
ENSG00000116786	4134	0.626269956
ENSG00000162461	3338	0.595566207
ENSG00000162458	4351	0.581015858
ENSG00000233954	2180	0.469266055
ENSG00000179743	2473	0.570157703
ENSG00000065526	15120	0.510912698
ENSG00000116809	4240	0.51745283
ENSG00000183888	3039	0.526159921
ENSG00000173641	3193	0.613216411
ENSG00000185519	1720	0.647674419
ENSG00000142627	4141	0.575706351
ENSG00000142632	3788	0.566525871
ENSG00000288398	2662	0.563486101
ENSG00000132881	1574	0.594027954
ENSG00000037637	9009	0.435675436
ENSG00000055070	4742	0.543019823
ENSG00000157191	5510	0.493284936
ENSG00000226029	3245	0.459167951
ENSG00000080947	2039	0.517410495
ENSG00000219481	12212	0.453160825
ENSG00000215908	2773	0.538045438
ENSG00000186301	2291	0.612832824
ENSG00000058453	8875	0.645070423
ENSG00000186715	2185	0.53180778
ENSG00000238142	2149	0.456491391
ENSG00000159363	5253	0.58633162
ENSG00000117118	2324	0.420826162
ENSG00000117115	6000	0.526666667
ENSG00000179051	4079	0.604314783
ENSG00000074964	7954	0.602967061
ENSG00000117154	3033	0.589845038
ENSG00000280222	6473	0.5439518
ENSG00000009709	6473	0.547350533
ENSG00000159423	3632	0.559746696
ENSG00000169991	6179	0.549765334
ENSG00000127481	24661	0.416163173
ENSG00000127463	15030	0.470259481
ENSG00000053372	2556	0.54342723
ENSG00000211454	2768	0.562861272
ENSG00000162482	1215	0.563786008
ENSG00000270728	525	0.382857143
ENSG00000053371	1779	0.575604272
ENSG00000040487	2686	0.619136262
ENSG00000077549	19094	0.5
ENSG00000173436	5480	0.483576642
ENSG00000158747	3448	0.620649652
ENSG00000158748	3800	0.649736842
ENSG00000162542	4027	0.517506829
ENSG00000169914	6885	0.444589688
ENSG00000127472	3342	0.494614004
ENSG00000187980	3855	0.538780804
ENSG00000162543	5562	0.466738583
ENSG00000236963	4734	0.495141529
ENSG00000162545	2605	0.570441459
ENSG00000090432	2428	0.490939044
ENSG00000183114	2448	0.676470588
ENSG00000158825	820	0.562195122
ENSG00000158828	4833	0.546865301
ENSG00000117242	4443	0.492685123
ENSG00000244038	2721	0.533627343
ENSG00000117245	4470	0.589709172
ENSG00000189410	4487	0.637174058
ENSG00000127483	9815	0.446968925
ENSG00000075151	11885	0.413798906
ENSG00000117298	7308	0.559386973
ENSG00000142794	6812	0.485613623
ENSG00000162551	2980	0.588926174
ENSG00000076864	5743	0.600383075
ENSG00000090686	9497	0.42992524
ENSG00000142798	18118	0.563527983
ENSG00000070831	24398	0.427739979
ENSG00000162552	4650	0.646451613
ENSG00000184677	9169	0.508452394
ENSG00000070886	5434	0.632131027
ENSG00000173372	2640	0.564772727
ENSG00000159189	1736	0.60656682
ENSG00000173369	2327	0.568972927
ENSG00000133216	12516	0.558165548
ENSG00000004487	18325	0.417953615
ENSG00000169641	9651	0.497979484
ENSG00000179546	3319	0.564929196
ENSG00000261326	6182	0.369459722
ENSG00000125944	8704	0.375459559
ENSG00000125945	4786	0.504805683
ENSG00000249087	2901	0.521544295
ENSG00000204219	3675	0.525442177
ENSG00000088280	4988	0.540296712
ENSG00000117318	1496	0.569518717
ENSG00000142676	2659	0.482888304
ENSG00000236810	3246	0.451324707
ENSG00000011007	5348	0.477748691
ENSG00000057757	2173	0.490566038
ENSG00000011009	2021	0.617516081
ENSG00000117308	3955	0.610619469
ENSG00000117305	5628	0.45167022
ENSG00000179163	2043	0.549192364
ENSG00000189266	2763	0.397756062
ENSG00000188529	11860	0.391315346
ENSG00000185436	4940	0.497165992
ENSG00000001460	8511	0.484431912
ENSG00000001461	9396	0.469029374
ENSG00000117602	7138	0.427991034
ENSG00000133226	7994	0.417688266
ENSG00000169504	4467	0.367808373
ENSG00000020633	4922	0.5365705
ENSG00000117614	3773	0.433342168
ENSG00000284602	2190	0.461187215
ENSG00000117616	6730	0.426448737
ENSG00000183726	3010	0.43654485
ENSG00000188672	2433	0.502260584
ENSG00000204178	3979	0.433777331
ENSG00000157978	5371	0.563396016
ENSG00000117643	9702	0.54710369
ENSG00000162430	4403	0.596411538
ENSG00000117640	5797	0.525616698
ENSG00000127423	2408	0.487956811
ENSG00000182749	3244	0.555795314
ENSG00000117632	6247	0.537057788
ENSG00000158006	3795	0.467457181
ENSG00000158008	4542	0.623513871
ENSG00000175087	4560	0.39122807
ENSG00000197245	2799	0.600214362
ENSG00000142675	3960	0.578535354
ENSG00000236155	3349	0.52194685
ENSG00000130695	5145	0.499319728
ENSG00000142669	876	0.598173516
ENSG00000158062	4691	0.50692816
ENSG00000169442	934	0.523554604
ENSG00000117682	7156	0.491335942
ENSG00000198830	3189	0.43650047
ENSG00000117676	5884	0.575798776
ENSG00000117713	15939	0.523244871
ENSG00000060642	8084	0.485032162
ENSG00000204160	5460	0.584615385
ENSG00000142751	4966	0.507652034
ENSG00000198746	2226	0.529200359
ENSG00000090273	2848	0.549859551
ENSG00000253368	1979	0.608388075
ENSG00000090020	6195	0.483131558
ENSG00000142784	5911	0.565048215
ENSG00000243659	282	0.390070922
ENSG00000186501	4476	0.581546023
ENSG00000142733	5507	0.597421464
ENSG00000181773	2137	0.565278428
ENSG00000158195	5681	0.404154198
ENSG00000126705	8297	0.549355189
ENSG00000000938	3382	0.5644589
ENSG00000126709	936	0.510683761
ENSG00000009780	4046	0.415472071
ENSG00000117758	3801	0.398579321
ENSG00000117751	2815	0.493072824
ENSG00000130775	4621	0.5576715
ENSG00000117748	1981	0.49772842
ENSG00000158156	5180	0.557722008
ENSG00000158161	6424	0.40986924
ENSG00000169403	4208	0.494771863
ENSG00000126698	2892	0.454011065
ENSG00000130770	2225	0.481797753
ENSG00000270605	1945	0.415938303
ENSG00000130766	3462	0.595609474
ENSG00000130772	2017	0.489836391
ENSG00000204138	7317	0.46904469
ENSG00000180198	3888	0.53600823
ENSG00000242125	4088	0.466731898
ENSG00000180098	4311	0.485270239
ENSG00000197989	4266	0.50726676
ENSG00000120656	8610	0.4485482
ENSG00000162419	6413	0.46390145
ENSG00000198492	3729	0.503352105
ENSG00000116329	9317	0.546420522
ENSG00000159023	19993	0.439653879
ENSG00000116350	8806	0.425278219
ENSG00000116353	4138	0.47341711
ENSG00000060656	6682	0.616881173
ENSG00000186056	4024	0.581013917
ENSG00000162511	3228	0.554213135
ENSG00000162512	7065	0.578343949
ENSG00000134644	6621	0.43135478
ENSG00000084628	3320	0.581626506
ENSG00000060688	3887	0.42757911
ENSG00000121766	1921	0.484643415
ENSG00000121769	1398	0.491416309
ENSG00000142910	5281	0.593069494
ENSG00000162517	2223	0.529014845
ENSG00000084636	9253	0.563600994
ENSG00000121753	7756	0.623388345
ENSG00000184007	6708	0.442009541
ENSG00000121774	3544	0.468397291
ENSG00000121775	2787	0.551847865
ENSG00000025800	7457	0.475928658
ENSG00000084652	5114	0.538717247
ENSG00000160050	3873	0.53369481
ENSG00000160051	2463	0.548112058
ENSG00000160055	3571	0.514701764
ENSG00000084623	9526	0.501994541
ENSG00000220785	1545	0.528802589
ENSG00000183615	947	0.631467793
ENSG00000116478	3966	0.505547151
ENSG00000175130	1546	0.671410091
ENSG00000225828	2845	0.614059754
ENSG00000160058	6741	0.487909806
ENSG00000273274	12831	0.433793157
ENSG00000160062	7077	0.407093401
ENSG00000176261	3531	0.436703483
ENSG00000162521	9470	0.425765576
ENSG00000162520	3722	0.542987641
ENSG00000162522	6020	0.620930233
ENSG00000134684	9775	0.476214834
ENSG00000116497	9190	0.415451578
ENSG00000160097	3199	0.597999375
ENSG00000121905	1964	0.602851324
ENSG00000121900	1417	0.605504587
ENSG00000116514	2734	0.556693489
ENSG00000004455	17967	0.48611343
ENSG00000142920	9581	0.531572905
ENSG00000116525	3976	0.573440644
ENSG00000160094	3384	0.588652482
ENSG00000225313	4015	0.481444583
ENSG00000134686	5550	0.493333333
ENSG00000121903	10444	0.488031406
ENSG00000121904	18114	0.467704538
ENSG00000163866	10337	0.483989552
ENSG00000187513	1716	0.607808858
ENSG00000116544	4042	0.518555171
ENSG00000163867	9568	0.419314381
ENSG00000197056	5205	0.376560999
ENSG00000116560	7720	0.426813472
ENSG00000146463	7905	0.411891208
ENSG00000142687	20873	0.396013989
ENSG00000020129	4917	0.612161887
ENSG00000116819	4308	0.591457753
ENSG00000126067	4528	0.410998233
ENSG00000142686	3049	0.546736635
ENSG00000092853	9591	0.456261078
ENSG00000134698	7423	0.446989088
ENSG00000092847	14043	0.466566973
ENSG00000126070	21153	0.390771995
ENSG00000092850	1959	0.595201633
ENSG00000116863	1651	0.587522714
ENSG00000171812	4669	0.56693082
ENSG00000054116	3527	0.546356677
ENSG00000116871	5271	0.638209068
ENSG00000054118	4720	0.475211864
ENSG00000214193	8142	0.61348563
ENSG00000286379	4878	0.499179992
ENSG00000196182	5618	0.508721965
ENSG00000181817	1506	0.519256308
ENSG00000116885	2788	0.458393113
ENSG00000116898	2863	0.520782396
ENSG00000119535	10594	0.535586181
ENSG00000163873	10497	0.541011718
ENSG00000284650	1039	0.430221367
ENSG00000233621	3462	0.476025419
ENSG00000163874	3091	0.615981883
ENSG00000163875	6061	0.459825111
ENSG00000163877	5718	0.445435467
ENSG00000163879	4456	0.482719928
ENSG00000134697	5747	0.434661563
ENSG00000116922	4443	0.52036912
ENSG00000134690	2406	0.512468828
ENSG00000183317	8152	0.539744848
ENSG00000185090	2973	0.603767238
ENSG00000196449	1848	0.556818182
ENSG00000197982	2231	0.641416405
ENSG00000188786	7989	0.433846539
ENSG00000204084	8930	0.485442329
ENSG00000183431	3894	0.48510529
ENSG00000183386	2004	0.618762475
ENSG00000183520	3381	0.418515232
ENSG00000185668	2965	0.631365936
ENSG00000224592	684	0.628654971
ENSG00000116954	5116	0.464034402
ENSG00000228436	2099	0.51071939
ENSG00000214114	2773	0.478543094
ENSG00000158315	2826	0.481599434
ENSG00000174574	2688	0.446800595
ENSG00000168653	548	0.48540146
ENSG00000127603	70573	0.4369093
ENSG00000183682	5636	0.574520937
ENSG00000243970	680	0.429411765
ENSG00000090621	10274	0.470313412
ENSG00000163909	4077	0.500613196
ENSG00000116981	9068	0.514666961
ENSG00000116983	4758	0.534047919
ENSG00000084072	11124	0.470963682
ENSG00000116985	4826	0.585163697
ENSG00000043514	6533	0.438389714
ENSG00000116990	5063	0.56191981
ENSG00000168389	4007	0.540304467
ENSG00000131236	3814	0.499475616
ENSG00000131238	3372	0.422894425
ENSG00000117000	6232	0.397785623
ENSG00000259943	1639	0.397803539
ENSG00000084073	4022	0.404525112
ENSG00000049089	4215	0.586476868
ENSG00000084070	3601	0.509858373
ENSG00000187801	2566	0.445830086
ENSG00000260920	2449	0.378930176
ENSG00000187815	3173	0.452568547
ENSG00000164002	2574	0.50971251
ENSG00000117010	3101	0.403418252
ENSG00000117016	7259	0.543325527
ENSG00000272145	1695	0.497345133
ENSG00000066136	5990	0.515525876
ENSG00000117013	4408	0.63430127
ENSG00000179862	1310	0.735114504
ENSG00000171793	11958	0.467134972
ENSG00000010803	4602	0.481964363
ENSG00000204060	2495	0.698997996
ENSG00000127124	14625	0.448547009
ENSG00000198815	6896	0.445765661
ENSG00000177181	10638	0.463714984
ENSG00000066185	2181	0.436955525
ENSG00000127125	3412	0.462485346
ENSG00000186409	25199	0.415532362
ENSG00000171960	5095	0.46889107
ENSG00000285728	3472	0.491359447
ENSG00000065978	3395	0.50544919
ENSG00000117385	6766	0.503990541
ENSG00000164008	5612	0.460798289
ENSG00000177868	1353	0.541019956
ENSG00000164010	5720	0.476398601
ENSG00000164011	2036	0.516699411
ENSG00000117394	6614	0.554429997
ENSG00000227533	4287	0.498717052
ENSG00000117395	3561	0.426565571
ENSG00000243710	5583	0.471252015
ENSG00000179178	2138	0.605706268
ENSG00000066056	6705	0.580014914
ENSG00000117400	3937	0.533655067
ENSG00000066322	2506	0.620510774
ENSG00000159479	2704	0.480769231
ENSG00000198198	26354	0.542156788
ENSG00000142949	10712	0.587098581
ENSG00000066135	5184	0.506751543
ENSG00000126091	19448	0.488790621
ENSG00000237950	2224	0.505845324
ENSG00000117408	5072	0.578667192
ENSG00000132768	2930	0.559044369
ENSG00000117410	3239	0.561901822
ENSG00000117411	5472	0.590643275
ENSG00000159214	3563	0.602020769
ENSG00000196517	5249	0.568489236
ENSG00000230615	10584	0.468537415
ENSG00000178028	5599	0.514556171
ENSG00000117419	2785	0.552962298
ENSG00000187147	9687	0.542169918
ENSG00000126106	3561	0.550688009
ENSG00000198520	3290	0.575075988
ENSG00000142945	3646	0.513439386
ENSG00000142937	2781	0.553398058
ENSG00000142959	2512	0.582006369
ENSG00000173846	3327	0.601442741
ENSG00000222009	3479	0.56654211
ENSG00000117425	5334	0.527559055
ENSG00000070785	3411	0.441805922
ENSG00000126107	5072	0.571569401
ENSG00000126088	4029	0.53636138
ENSG00000162415	6095	0.485315833
ENSG00000132773	2358	0.544529262
ENSG00000070759	3319	0.48568846
ENSG00000280670	2757	0.510700036
ENSG00000132763	5049	0.478312537
ENSG00000117450	1682	0.450059453
ENSG00000117448	3121	0.543095162
ENSG00000132780	8304	0.447736031
ENSG00000159588	3323	0.574179958
ENSG00000159592	7433	0.409794161
ENSG00000159596	1465	0.418430034
ENSG00000197429	3708	0.392394822
ENSG00000230896	598	0.371237458
ENSG00000086015	8062	0.559414537
ENSG00000117461	7397	0.429768825
ENSG00000117472	2370	0.534599156
ENSG00000085998	9028	0.453810368
ENSG00000171357	1849	0.540832883
ENSG00000085999	4078	0.536047082
ENSG00000132128	8614	0.484095658
ENSG00000173660	1341	0.471290082
ENSG00000117481	7856	0.494017312
ENSG00000117480	2724	0.613436123
ENSG00000232022	1238	0.563812601
ENSG00000162456	2933	0.592567337
ENSG00000079277	8071	0.470201958
ENSG00000142961	5832	0.525720165
ENSG00000123472	5654	0.468164132
ENSG00000159658	16312	0.415215792
ENSG00000142973	3465	0.51976912
ENSG00000186377	2447	0.458520638
ENSG00000186160	2252	0.439165187
ENSG00000162367	5705	0.544609991
ENSG00000226252	4036	0.520564916
ENSG00000123473	7821	0.413629971
ENSG00000162368	4437	0.367590714
ENSG00000132122	5938	0.426574604
ENSG00000186094	7501	0.408212238
ENSG00000162373	2142	0.516339869
ENSG00000162374	8368	0.404756214
ENSG00000185104	7549	0.430785535
ENSG00000123080	3018	0.57620941
ENSG00000123091	3112	0.413881748
ENSG00000085831	9491	0.529975767
ENSG00000085832	8329	0.420218514
ENSG00000117859	10273	0.424024141
ENSG00000078618	6640	0.396385542
ENSG00000169213	12780	0.456103286
ENSG00000198841	1708	0.553278689
ENSG00000134717	5948	0.373739072
ENSG00000157077	7980	0.438095238
ENSG00000154222	7507	0.557080059
ENSG00000134748	5617	0.401815916
ENSG00000134744	16199	0.396320761
ENSG00000116157	1692	0.510047281
ENSG00000162377	4148	0.479508197
ENSG00000162378	8206	0.399098221
ENSG00000121310	11572	0.468890425
ENSG00000116171	8253	0.418272143
ENSG00000174348	4899	0.582363748
ENSG00000162383	5413	0.527803436
ENSG00000157184	10089	0.433640599
ENSG00000162384	4504	0.472690941
ENSG00000162385	1363	0.381511372
ENSG00000157193	19668	0.554606467
ENSG00000058804	4720	0.447457627
ENSG00000058799	2036	0.495088409
ENSG00000081870	3006	0.423153693
ENSG00000116212	2164	0.473197782
ENSG00000116209	9149	0.416438955
ENSG00000116205	12168	0.458744247
ENSG00000215883	8926	0.482522967
ENSG00000116221	2549	0.528442526
ENSG00000157216	6954	0.497842968
ENSG00000198711	2624	0.497713415
ENSG00000162390	9770	0.518116684
ENSG00000162391	2006	0.555832502
ENSG00000184313	9088	0.548195423
ENSG00000243725	3488	0.50315367
ENSG00000162396	2356	0.471137521
ENSG00000116133	6214	0.510138397
ENSG00000162402	12042	0.4040857
ENSG00000162407	5272	0.410091047
ENSG00000162409	9355	0.352218065
ENSG00000173406	7551	0.432393061
ENSG00000162600	3718	0.395373857
ENSG00000162601	27812	0.370739249
ENSG00000177606	3624	0.42384106
ENSG00000234807	6160	0.500649351
ENSG00000232453	2068	0.439071567
ENSG00000172456	12174	0.425661245
ENSG00000134709	9374	0.368252614
ENSG00000134716	2973	0.428187016
ENSG00000162598	4422	0.386250565
ENSG00000226476	15496	0.366739804
ENSG00000231252	4379	0.382507422
ENSG00000162599	59428	0.374032443
ENSG00000237928	6214	0.405696814
ENSG00000162604	5516	0.401559101
ENSG00000132849	11813	0.431219843
ENSG00000132854	6814	0.508218374
ENSG00000162607	3869	0.397518739
ENSG00000116641	24890	0.371112897
ENSG00000125703	3116	0.344351733
ENSG00000088035	5487	0.377255331
ENSG00000142856	5459	0.393112292
ENSG00000203965	5704	0.352559607
ENSG00000079739	4077	0.50453765
ENSG00000185483	6718	0.440756177
ENSG00000158966	7022	0.488180006
ENSG00000162437	6090	0.401149425
ENSG00000162434	13174	0.448534993
ENSG00000162433	7578	0.445500132
ENSG00000116675	6958	0.439925266
ENSG00000213625	5237	0.404430017
ENSG00000116678	11370	0.359806508
ENSG00000184588	8930	0.428667413
ENSG00000118473	25445	0.377166437
ENSG00000152760	3360	0.36547619
ENSG00000152763	6673	0.398321594
ENSG00000198160	8273	0.357427777
ENSG00000116704	6193	0.397707089
ENSG00000081985	7496	0.468649947
ENSG00000142864	7676	0.40437728
ENSG00000116717	1925	0.577662338
ENSG00000172380	4715	0.45281018
ENSG00000232284	3645	0.443895748
ENSG00000162595	2647	0.445787684
ENSG00000116729	4459	0.401659565
ENSG00000033122	30043	0.387943947
ENSG00000066557	2843	0.406612733
ENSG00000116754	8473	0.371887171
ENSG00000118454	6184	0.414133247
ENSG00000197568	1241	0.497179694
ENSG00000116761	2414	0.431648716
ENSG00000050628	9510	0.393690852
ENSG00000132485	4985	0.357673019
ENSG00000229956	14877	0.359817167
ENSG00000172260	13208	0.351756511
ENSG00000286863	6418	0.364911187
ENSG00000285778	3776	0.418697034
ENSG00000254685	5622	0.352187834
ENSG00000178965	8827	0.363317095
ENSG00000116791	4085	0.420318237
ENSG00000162623	4616	0.380415945
ENSG00000137968	6299	0.353071916
ENSG00000117054	13774	0.404675476
ENSG00000137955	5920	0.36875
ENSG00000184005	7212	0.36619523
ENSG00000117069	6059	0.429608846
ENSG00000142892	5514	0.370511425
ENSG00000226084	555	0.457657658
ENSG00000287870	1211	0.334434352
ENSG00000154027	6948	0.438111687
ENSG00000036549	9008	0.388432504
ENSG00000077254	6918	0.383203238
ENSG00000180488	10129	0.378023497
ENSG00000235613	1693	0.413467218
ENSG00000162614	4436	0.380748422
ENSG00000162613	7619	0.395983725
ENSG00000162616	3702	0.374122096
ENSG00000285928	1795	0.342061281
ENSG00000137959	11610	0.348148148
ENSG00000137965	2038	0.381746811
ENSG00000162618	5798	0.365815799
ENSG00000117114	24178	0.352055588
ENSG00000233290	7240	0.344060773
ENSG00000236268	4746	0.37020649
ENSG00000137941	10547	0.401915237
ENSG00000271576	1631	0.444512569
ENSG00000142875	6730	0.35794948
ENSG00000203943	3405	0.394126285
ENSG00000117133	2290	0.383842795
ENSG00000117151	6934	0.384193828
ENSG00000117155	8563	0.394604695
ENSG00000171517	3536	0.458710407
ENSG00000280099	1717	0.382061736
ENSG00000097096	7113	0.429073527
ENSG00000162642	3420	0.451169591
ENSG00000142867	4346	0.399907961
ENSG00000153904	4587	0.492914759
ENSG00000142871	3698	0.485127096
ENSG00000117174	6203	0.374334999
ENSG00000171502	9568	0.412311873
ENSG00000285210	2885	0.340034662
ENSG00000122417	11465	0.372612298
ENSG00000016602	3447	0.378590078
ENSG00000261737	NA	NA
ENSG00000097033	6881	0.391222206
ENSG00000183291	2201	0.391640164
ENSG00000153936	8469	0.377140158
ENSG00000267272	6717	0.462706565
ENSG00000143013	5421	0.425936174
ENSG00000237505	16635	0.405530508
ENSG00000065243	6897	0.37030593
ENSG00000137947	2524	0.419968304
ENSG00000137944	2196	0.452185792
ENSG00000213516	5087	0.429722823
ENSG00000117226	4284	0.407796452
ENSG00000117228	6103	0.388005899
ENSG00000162645	7223	0.36466842
ENSG00000162654	6141	0.403517342
ENSG00000225492	1740	0.455172414
ENSG00000197147	8267	0.390589089
ENSG00000231999	12510	0.40991207
ENSG00000171488	11724	0.413169567
ENSG00000171492	4852	0.451154163
ENSG00000162664	10988	0.357753913
ENSG00000233593	14454	0.449840874
ENSG00000122482	7604	0.439505523
ENSG00000162669	5814	0.409012728
ENSG00000097046	3599	0.41122534
ENSG00000069702	8577	0.437332401
ENSG00000172031	2250	0.423111111
ENSG00000189195	8342	0.371613522
ENSG00000273487	1293	0.381283836
ENSG00000174842	2910	0.388659794
ENSG00000122484	17048	0.408259033
ENSG00000067208	8278	0.386566804
ENSG00000122406	3687	0.398426905
ENSG00000154511	3091	0.423487544
ENSG00000143033	5907	0.370407991
ENSG00000117500	9211	0.39561394
ENSG00000122483	7613	0.414816761
ENSG00000223745	6284	0.383036283
ENSG00000117505	10925	0.376018307
ENSG00000137942	5811	0.383927035
ENSG00000137936	6919	0.464373464
ENSG00000260464	1766	0.516987542
ENSG00000067334	7518	0.414870976
ENSG00000023909	5426	0.385366753
ENSG00000137962	18370	0.380457267
ENSG00000117528	7655	0.379751796
ENSG00000117525	2886	0.460845461
ENSG00000224081	10245	0.444021474
ENSG00000143036	2869	0.459393517
ENSG00000117519	2783	0.499101689
ENSG00000235501	3332	0.460084034
ENSG00000172339	9641	0.413131418
ENSG00000152078	7385	0.370886933
ENSG00000122481	1927	0.392838609
ENSG00000228971	7359	0.391085745
ENSG00000137970	747	0.429718876
ENSG00000117569	14681	0.348341394
ENSG00000188641	7131	0.344411723
ENSG00000225206	9610	0.372112383
ENSG00000162627	2067	0.426221577
ENSG00000117598	4859	0.394525623
ENSG00000117600	5201	0.418573351
ENSG00000099260	8074	0.402402774
